countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"","","Outcome","01-Jun-15","SB 42","","","http://www.iisd.ca/vol12/enb12638e.html","Bonn Climate Change Conference - June 2015","","enb12638e_59","11-Jun-15"
"Russia|India|United States|Canada|Colombia|Tuvalu|United Kingdom|Malaysia|Togo|Australia|Iceland|Uruguay|Uganda|Ukraine|Trinidad and Tobago|Samoa|Norway|China|New Zealand","Pre-Kyoto","COMMITTEE OF THE WHOLE","09-Dec-97","3rd COP FCCC","plenary","Group of 77|European Union","http://www.iisd.ca/vol12/enb1274e.html","Third Conference of the Parties to the Framework Convention on Climate Change","cop","enb1274e_2","09-Dec-97"
"Antigua and Barbuda|United Kingdom","","METHODOLOGICAL ISSUES","15-Dec-03","UNFCCC COP-9","","","http://www.iisd.ca/vol12/enb12231e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12231e_8","15-Dec-03"
"","","SBI Conclusions:","17-Jun-02","SB-16","","","http://www.iisd.ca/vol12/enb12200e.html","Sixteenth Sessions of the Subsidiary Bodies","","enb12200e_43","17-Jun-02"
"","","REPORT OF THE MEETING","14-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_1","25-May-12"
"Nepal|China|Australia|Dominica|Holy See (Vatican City)|Nauru|Saudi Arabia|Switzerland|Saint Lucia|Gambia|Egypt|Costa Rica|Peru|Dominican Republic|Bolivia|Sudan","Post-Kyoto Agreements 1","ADP STOCKTAKING MEETING","24-Oct-14","ADP 2-6","PLENARY","Group of 77|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|Independent association of Latin America and the Caribbean|African Group","http://www.iisd.ca/vol12/enb12603e.html","Bonn Climate Change Conference - October 2014","WORKING GROUP","enb12603e_2","24-Oct-14"
"","","Budget performance for the biennium 2008-2009","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_75","12-Jun-09"
"","","SBI Conclusions","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_78","12-Jun-09"
"","","Decision 3:","02-Oct-01","IPCC-18","","","http://www.iisd.ca/vol12/enb12177e.html","IPCC-18","","enb12177e_25","02-Oct-01"
"United States|Saudi Arabia","","IN THE CORRIDORS","03-Aug-10","AWGs","corridors","","http://www.iisd.ca/vol12/enb12474e.html","Bonn Climate Change Talks - August 2010","working group","enb12474e_12","03-Aug-10"
"","","SBSTA Conclusions","15-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12306e_67","26-May-06"
"Australia|India","","Research and systematic observation","25-Oct-02","COP-8","","","http://www.iisd.ca/vol12/enb12203e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12203e_5","25-Oct-02"
"","","SECRETARIAT ACTIVITIES RELATING TO FINANCIAL AND TECHNICAL SUPPORT TO PARTIES","08-Jul-96","2nd COP FCCC","","","http://www.iisd.ca/vol12/1238000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","","1238000e_17","19-Jul-96"
"Pakistan|Niger|Nigeria|China","UNFCCC and Kyoto Protocol Implementation","CLOSING PLENARY","07-May-07","SB 26","PLENARY","Group of 77|African Group","http://www.iisd.ca/vol12/enb12333e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","","enb12333e_43","18-May-07"
"","","AR4 Synthesis Report","28-Apr-06","IPCC-25","","","http://www.iisd.ca/vol12/enb12294e.html","IPCC-25","","enb12294e_8","28-Apr-06"
"","","SBI Conclusions","02-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12375e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12375e_67","13-Jun-08"
"Japan|Norway|United States","","CLOSING PLENARY","01-Dec-97","3rd COP FCCC","PLENARY","Alliance of Small Island States","http://www.iisd.ca/vol12/enb1276e.html","Third Conference of the Parties to the Framework Convention on Climate Change","","enb1276e_10","11-Dec-97"
"","","STATEMENTS FROM UN BODIES AND AGENCIES","28-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12291e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12291e_118","09-Dec-05"
"Brazil|Ethiopia|India|Mexico|Malaysia|Belize|Venezuela|China|Chile|Uganda|Saudi Arabia|Sudan","Post-Kyoto Agreements 1","STREAMLINING:","11-Feb-15","COP 20","","African Group|Independent association of Latin America and the Caribbean","http://www.iisd.ca/vol12/enb12623e.html","Geneva Climate Change Conference - February 2015","working group","enb12623e_5","11-Feb-15"
"Australia","","POLICIES AND MEASURES (P&Ms)","10-Dec-03","UNFCCC COP-9","","","http://www.iisd.ca/vol12/enb12228e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12228e_13","10-Dec-03"
"India|United States|Australia|Sierra Leone|Saudi Arabia|China","","Country Presentations","07-Jun-13","SB 38","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12573e.html","Bonn Climate Change Conference - June 2013","","enb12573e_14","07-Jun-13"
"Thailand|El Salvador|Malaysia|Canada","","Methods and tools to evaluate impacts and adaptation:","12-Nov-01","COP-7","","","http://www.iisd.ca/vol12/enb12189e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12189e_49","12-Nov-01"
"Reunion","","IN THE CORRIDORS","01-Jun-10","AWGs","corridors","","http://www.iisd.ca/vol12/enb12462e.html","Bonn Climate Change Talks - May/June 2010","","enb12462e_27","01-Jun-10"
"","","HIGH-LEVEL SEGMENT","03-Dec-08","COP/MOP3","PLENARY","","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","COP","enb12354e_95","15-Dec-08"
"Solomon Islands|Russian Federation|Oman|Tanzania|Kiribati|Kuwait|Mali|Lesotho|Saudi Arabia|Colombia|Thailand|Turkey|Russia","","AGENDA ITEM 3 - STATUS OF RATIFICATION OF THE CONVENTION","06-Feb-95","11th Session of the INC","","","http://www.iisd.ca/vol12/1211000e.html","Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)","","1211000e_3","17-Feb-95"
"","","COMPLIANCE:","11-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12393e.html","UN Climate Change Conference - Poznań","sbi","enb12393e_26","11-Dec-08"
"","","SBI Conclusions","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_16","12-Dec-08"
"","","IN THE CORRIDORS","04-Sep-15","ADP 2-10","CORRIDORS","","http://www.iisd.ca/vol12/enb12643e.html","Bonn Climate Change Conference - August 2015","","enb12643e_10","04-Sep-15"
"Australia|United States|China","","NON-ANNEX I NATIONAL COMMUNICATIONS","10-Dec-03","UNFCCC COP-9","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12228e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12228e_1","10-Dec-03"
"United States|Australia|South Africa|Niger|Saudi Arabia|Nigeria|Switzerland|China|New Zealand","Compliance and Enforcement","GUIDELINES UNDER PROTOCOL ARTICLES 5, 7 & 8","05-Sep-00","SB-13","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12142e.html","Thirteenth Session of the Subsidiary Bodies of the UNFCCC","","enb12142e_3","05-Sep-00"
"","","LULUCF:","09-Oct-10","AWGs","","","http://www.iisd.ca/vol12/enb12484e.html","Tianjin Climate Change Talks - October 2010","working group","enb12484e_10","09-Oct-10"
"","","Agriculture and Food Security","10-Mar-08","Workshop","","","http://www.iisd.ca/vol12/enb12356e.html","UNFCCC Expert Group Meeting on socioeconomic information under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12356e_6","12-Mar-08"
"Costa Rica|France|Netherlands|United States","","Statements by elected Heads of Government:","27-Nov-00","COP-6","","","http://www.iisd.ca/vol12/enb12163e.html","Sixth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12163e_43","27-Nov-00"
"China","","CGE","25-Oct-02","COP-8","","Group of 77","http://www.iisd.ca/vol12/enb12203e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12203e_15","25-Oct-02"
"Brazil|Canada|Senegal|Uruguay|Japan|United Kingdom","","Small-scale A&R CDM:","07-Dec-04","UNFCCC COP-10","","European Union","http://www.iisd.ca/vol12/enb12250e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12250e_5","07-Dec-04"
"Kuwait|Japan|Saudi Arabia","","ARTICLE 2.3","03-Dec-08","COP/MOP3","","European Union","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","COP","enb12354e_79","15-Dec-08"
"","","REPORT OF THE AWG-KP","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_83","12-Dec-08"
"","","AR5 of the IPCC: S","02-Dec-14","COP 20","","","http://www.iisd.ca/vol12/enb12609e.html","Lima Climate Change Conference - December 2014","","enb12609e_6","02-Dec-14"
"Iran|United States|Botswana|Togo|Japan|Philippines|Australia|Brazil|Saudi Arabia|Austria|Turkey|Kazakhstan|Switzerland|China","National Communications & Inventories","SBI","01-Jun-99","10th Session SBSTA & SBI","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12100e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI","enb12100e_4","01-Jun-99"
"Russia|Venezuela|Marshall Islands|Russian Federation|United States|Japan|Kuwait|Canada|Burkina Faso|Saudi Arabia|Denmark|Norway|Poland|China","National Communications & Inventories","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE","16-Jul-96","2nd COP FCCC","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/1234000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","sbsta","1234000e_2","16-Jul-96"
"United Kingdom|United States|Burkina Faso|Niger|Nigeria|Barbados","National Communications & Inventories","DEVELOPMENT OF PROPOSALS FOR PREPARING SECOND NATIONAL COMMUNICATIONS","03-May-04","UNFCCC Workshop","","","http://www.iisd.ca/vol12/enb12232e.html","United Nations Framework Convention on Climate Change (UNFCCC) workshop on the preparation of national communications from non-Annex I Parties","","enb12232e_9","03-May-04"
"Morocco","","WELCOMING CEREMONY","08-Nov-01","COP-7","","","http://www.iisd.ca/vol12/enb12187e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12187e_2","08-Nov-01"
"China","Financial Mechanisms and Funds 1","ANNEX TO THE MOU BETWEEN THE COP AND THE GEF COUNCIL","08-Jul-96","2nd COP FCCC","","Group of 77","http://www.iisd.ca/vol12/1238000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","","1238000e_16","19-Jul-96"
"","","GEARING UP FOR NEGOTIATIONS","09-Apr-10","AWGs","","","http://www.iisd.ca/vol12/enb12460e.html","Bonn Climate Change Talks - April 2010","","enb12460e_12","11-Apr-10"
"","","RESEARCH AND SYSTEMATIC OBSERVATION","02-Dec-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12284e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12284e_12","02-Dec-05"
"India|Australia|United States","","Presentations by Organizations","07-Jun-13","SB 38","","Organization of Petroleum Exporting Countries|European Union","http://www.iisd.ca/vol12/enb12573e.html","Bonn Climate Change Conference - June 2013","","enb12573e_15","07-Jun-13"
"India|Iran|United States|Malaysia|Philippines|Australia|Zimbabwe|Kuwait|Mauritius|Canada|Micronesia|China","","IPCC WORK PROGRAMME","09-Dec-96","AGBM 5, SBI 4, SBSTA 4, AG13 3","","African Group|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/1239000e.html","Fifth Session of the Ad Hoc Group on the Berlin Mandate Fourth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","","1239000e_16","18-Dec-96"
"","","SBI Conclusions","06-Dec-04","UNFCCC COP-10","","","http://www.iisd.ca/vol12/enb12260e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12260e_41","18-Dec-04"
"","","CROSS-CUTTING THEMES:","18-Nov-11","IPCC-34","","","http://www.iisd.ca/vol12/enb12522e.html","Thirty-fourth Session of the Intergovernmental Panel on Climate Change (IPCC)","IPCC","enb12522e_16","19-Nov-11"
"New Zealand|China|Jordan|Japan|Switzerland","","TRANSPARENCY OF ACTION AND SUPPORT:","10-Feb-15","COP 20","groups","European Union","http://www.iisd.ca/vol12/enb12622e.html","Geneva Climate Change Conference - February 2015","working group","enb12622e_6","10-Feb-15"
"Brazil|Russian Federation|Norway|Japan|China|Australia|Mali|Belarus|Marshall Islands|Bolivia|Russia","","Panel 2","03-Sep-12","AWGs","","Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12552e.html","Bangkok Climate Change Conference - August 2012","","enb12552e_3","03-Sep-12"
"India","","ADP","05-Jun-13","SB 38","plenary","","http://www.iisd.ca/vol12/enb12571e.html","Bonn Climate Change Conference - June 2013","working group","enb12571e_1","05-Jun-13"
"","","IPCC SPECIAL REPORT ON CARBON DIOXIDE CAPTURE AND STORAGE","05-Dec-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12286e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12286e_10","05-Dec-05"
"Australia","","IN THE CORRIDORS","13-Feb-15","COP 20","corridors","","http://www.iisd.ca/vol12/enb12625e.html","Geneva Climate Change Conference - February 2015","working group","enb12625e_5","13-Feb-15"
"","","SBI Conclusions","06-Dec-04","UNFCCC COP-10","","","http://www.iisd.ca/vol12/enb12260e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12260e_39","18-Dec-04"
"","","CAPACITY BUILDING UNDER THE PROTOCOL","07-Dec-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12288e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12288e_9","07-Dec-05"
"","","PROVISION OF FINANCIAL AND TECHNICAL SUPPORT","16-Jun-03","SB-18","","","http://www.iisd.ca/vol12/enb12219e.html","18th Session of the Subsidiary Bodies","","enb12219e_40","16-Jun-03"
"Russia|United States|Malaysia|Russian Federation|Saudi Arabia|Uzbekistan|Norway|Switzerland|China","","MECHANISMS","08-Nov-99","COP-5","","Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12123e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12123e_19","08-Nov-99"
"Canada|India|China|Australia|Sierra Leone|Argentina","","RESPONSE MEASURES :","07-Oct-11","AWGs","","Group of 77 and China|African Group","http://www.iisd.ca/vol12/enb12520e.html","UN Climate Change Conference October 2011","working group","enb12520e_3","07-Oct-11"
"","","OTHER ISSUES (AWG-KP):","12-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12373e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12373e_4","12-Jun-08"
"","","ADOPTION OF THE REPORT ON CREDENTIALS","30-Jul-01","COP-6 bis","","","http://www.iisd.ca/vol12/enb12176e.html","SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION","","enb12176e_5","30-Jul-01"
"Brazil|Niger|Canada|New Zealand|Russian Federation|Nigeria|Japan|China|Australia|Saudi Arabia|Poland|Russia","Compliance and Enforcement","PROTOCOL ARTICLES 5, 7 AND 8","02-Nov-01","COP-7","","Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12182e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12182e_1","02-Nov-01"
"Mozambique","Vulnerabilities and Impacts","ADAPTATION PLANNING AND PRACTICES AT THE SUBNATIONAL LEVEL:","15-Sep-07","Workshop","","","http://www.iisd.ca/vol12/enb12340e.html","UN Framework Convention on Climate Change (UNFCCC) Workshop on Adaptation Planning and Practices under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12340e_6","15-Sep-07"
"Ecuador|Australia|Nauru|Saudi Arabia|Gambia|Sierra Leone|Honduras|Swaziland","Extension of the Kyoto protocol","CLOSING PLENARY:","14-May-12","SB 36","PLENARY","Alliance of Small Island States|Central American Integration System|Umbrella Group|European Union|Environmental Integrity Group|Bolivarian Alliance For The Peoples Of Our America|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","WORKING GROUP","enb12546e_8","25-May-12"
"Brazil|Canada|Ghana|Mexico|Norway|Japan|China|Chile|Tuvalu|Dominica|Maldives|Saudi Arabia|Saint Lucia|Switzerland|Egypt|South Africa|Bolivia|Dominican Republic","Post-Kyoto Agreements 1","ADAPTATION, AND LOSS AND DAMAGE:","10-Feb-15","COP 20","","Alliance of Small Island States|League of Arab States|African Group|Independent association of Latin America and the Caribbean|European Union","http://www.iisd.ca/vol12/enb12622e.html","Geneva Climate Change Conference - February 2015","working group","enb12622e_2","10-Feb-15"
"Solomon Islands|Antigua and Barbuda|Nigeria|Ireland|Australia|Maldives|Belgium|Russia|Chile|Colombia|France|Burkina Faso|Seychelles|Iran|Algeria|China|Mongolia|Niger|India|Russian Federation|Belarus|Egypt","Mitigation","COUNTRY STATEMENTS:","01-Dec-08","COP 14","","Group of 77|Umbrella Group|African Group|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_104","12-Dec-08"
"Canada","","SBI Conclusions","30-May-05","UNFCCC SB 22","","","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12270e_57","30-May-05"
"Australia|Chile","","COOPERATION WITH RELEVANT INTERNATIONAL ORGANIZATIONS","07-May-07","SB 26","","","http://www.iisd.ca/vol12/enb12333e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","","enb12333e_64","18-May-07"
"Germany|Micronesia|Pakistan|Saudi Arabia|China","","ORGANIZATIONAL MATTERS:","08-May-07","SB 26","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12323e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","","enb12323e_2","08-May-07"
"China|Saudi Arabia|New Zealand","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS:","14-May-07","SB 26","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12328e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","sbi/sbsta","enb12328e_2","14-May-07"
"China|Indonesia|Switzerland","","CONTACT GROUP ON ALLOCATION OF WORK","02-Jun-98","8th Session SBSTA & SBI, AG13 6","GROUPS","Group of 77","http://www.iisd.ca/vol12/enb1286e.html","Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","","enb1286e_24","12-Jun-98"
"","","SBSTA Conclusions","30-May-05","UNFCCC SB 22","","","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12270e_26","30-May-05"
"","","Final Text","23-Sep-13","IPCC36","","","http://www.iisd.ca/vol12/enb12581e.html","Twelfth Session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and Thirty-sixth Session of the IPCC","","enb12581e_12","26-Sep-13"
"Ghana|United States|Saudi Arabia","Compliance and Enforcement","CROSS-CUTTING ISSUES","07-Jun-00","SB-12","","European Union","http://www.iisd.ca/vol12/enb12129e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12129e_4","07-Jun-00"
"Belize|Netherlands","","TECHNOLOGY TRANSFER:","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_89","11-Dec-10"
"Tuvalu|United States|Japan|Australia|Grenada|Costa Rica","","CONSIDERATION OF PROPOSALS BY PARTIES UNDER ARTICLE 17 OF THE CONVENTION:","11-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12594e.html","Warsaw Climate Change Conference - November 2013","","enb12594e_4","23-Nov-13"
"Russia|Bangladesh|Slovakia|United States|Germany|Kuwait|Mauritius|Belgium|South Africa|Niger|Slovenia|Namibia|Sweden|Oman|Russian Federation|Greece|Kiribati|Mozambique|Uganda|Israel|Spain|Nigeria","Pre-Kyoto","ROUND TABLE II - 'CLIMATE CHANGE AND SUSTAINABLE DEVELOPMENT'","04-Nov-02","COP-8","","European Union","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_69","04-Nov-02"
"","","FINANCE","27-Jul-01","COP-6 bis","","","http://www.iisd.ca/vol12/enb12175e.html","SIXTH CONFERENCE OF THE PARTIES TO THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE RESUMED SESSION","","enb12175e_2","27-Jul-01"
"Switzerland","IPCC Governance","WORKSHOP UNDER THE STRUCTURED EXPERT DIALOGUE OF THE 2013-15 REVIEW:","06-Jun-13","SB 38","","Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12572e.html","Bonn Climate Change Conference - June 2013","sbsta","enb12572e_5","06-Jun-13"
"Bhutan","","VULNERABILITY AND ADAPTATION ASSESSMENT","26-Mar-01","Workshop","","","http://www.iisd.ca/vol12/enb12164e.html","INTER-REGIONAL WORKSHOP OF THE CONSULTATIVE GROUP OF EXPERTS ON INITIAL NATIONAL COMMUNICATIONS FROM PARTIES NOT INCLUDED IN ANNEX I TO THE CONVENTION","","enb12164e_2","26-Mar-01"
"","","COP Decision","06-Dec-04","UNFCCC COP-10","","","http://www.iisd.ca/vol12/enb12260e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12260e_49","18-Dec-04"
"Gambia|China","","SPECIAL CLIMATE CHANGE FUND:","15-May-06","UNFCCC SB 24","GROUPS","Group of 77|European Union","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","SBI","enb12306e_18","26-May-06"
"","","REPORTING AND REVIEW OF INFORMATION FROM ANNEX I PARTIES UNDER THE PROTOCOL :","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","SBI","enb12459e_117","19-Dec-09"
"","","IN THE CORRIDORS","09-Dec-08","COP 14","corridors","","http://www.iisd.ca/vol12/enb12391e.html","UN Climate Change Conference - Poznań","","enb12391e_13","09-Dec-08"
"New Zealand|China|Chile|Switzerland","","INTERNATIONAL TRANSACTION LOG","07-May-07","SB 26","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12333e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","","enb12333e_26","18-May-07"
"Russia|India|Iran|Venezuela|United States|Japan|Brazil|Indonesia|Canada|Georgia|United Kingdom|Russian Federation|Philippines|Australia|Zimbabwe|Ethiopia|Hungary|Burkina Faso|Saudi Arabia|Norway|China","Adverse Effects & Response Measure","SUBSIDIARY BODY FOR IMPLEMENTATION","09-Jun-98","8th Session SBSTA & SBI, AG13 6","","Group of 77|European Union","http://www.iisd.ca/vol12/enb1282e.html","Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","sbi","enb1282e_2","09-Jun-98"
"China","","Implementation of Decision 5/CP.8","30-Nov-05","UNFCCC COP 11 and COP/MOP 1","","Group of 77","http://www.iisd.ca/vol12/enb12282e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12282e_3","30-Nov-05"
"","","NGO AND BUSINESS PERSPECTIVES","19-Jun-00","SB-12","","","http://www.iisd.ca/vol12/enb12137e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12137e_30","19-Jun-00"
"United States|Senegal|Bolivia|Australia|Germany|Niger|Mexico|Austria|Nigeria|Switzerland","Flexibility Mechanims","PRESENTATIONS","13-Jul-00","LULUCF","","","http://www.iisd.ca/vol12/enb12140e.html","Workshop on Land-Use, Land-Use Change and Forestry","","enb12140e_2","13-Jul-00"
"India|United Kingdom","","India","19-May-05","SOGE","","","http://www.iisd.ca/vol12/enb12261e.html","Seminar of Governmental Experts","","enb12261e_19","19-May-05"
"Canada|Tuvalu|United States|Saudi Arabia|Germany|China|Indigenous Peoples","","Effective participation in the UNFCCC process","18-Jun-04","UNFCCC SB-20","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12235e.html","Twentieth Session of the Subsidiary Bodies to the UN Framework Convention on Climate Change","","enb12235e_8","18-Jun-04"
"","","SBSTA Conclusions","03-Jun-13","SB 38","","","http://www.iisd.ca/vol12/enb12580e.html","Bonn Climate Change Conference - June 2013","","enb12580e_39","14-Jun-13"
"China","","FINANCIAL MECHANISM","05-Dec-05","UNFCCC COP 11 and COP/MOP 1","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12286e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12286e_8","05-Dec-05"
"India|Pakistan|Argentina|United States|Gambia|Japan|Bolivia|Brazil|Canada|South Africa|Guatemala|Nicaragua|Mexico|Turkey|Thailand|Australia|Uruguay|Singapore|Spain|Saudi Arabia|Norway|Switzerland|China|Cook Islands","Adaptation","ITEM 3 (AWG-LCA): Technology and cooperative sectoral approaches and sector-specific actions in agriculture:","08-Jun-10","AWGs","groups","Group of 77|African Group|European Union","http://www.iisd.ca/vol12/enb12468e.html","Bonn Climate Change Talks - May/June 2010","working group","enb12468e_2","08-Jun-10"
"Chad|Brazil|India|Mexico|Japan|China|Australia|Bahamas|South Africa|Singapore|Pakistan","Mitigation","MITIGATION AND MEANS OF IMPLEMENTATION:","21-Aug-08","AWGs","","Group of 77|Umbrella Group|African Group","http://www.iisd.ca/vol12/enb12383e.html","Third session of the Ad Hoc Working Group on Long-term Cooperative Action and first part of the sixth session of the Ad Hoc Working Group on Further Commitments for Annex 1 Parties under the Kyoto Protocol to the UNFCCC","working group","enb12383e_3","27-Aug-08"
"Zimbabwe","","MINISTERIAL SEGMENT","18-Jul-96","2nd COP FCCC","","","http://www.iisd.ca/vol12/1236000e.html","Second Conference of the Parties to the Framework Convention on Climate Change","","1236000e_1","18-Jul-96"
